BOS मैं बाल्टीमोर से डलास तक की राउंड ट्रिप के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_flight
BOS बोस्टन से सैन फ्रांसिस्को तक सभी नॉनस्टॉप उड़ानें दिखाएं EOS\t	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS डेनवर में किस प्रकार का जमीनी परिवहन उपलब्ध है? EOS\t	O O O O O O O O B-city_name atis_ground_service
BOS मैं इंडियानापोलिस से ह्यूस्टन तक यात्रा करना चाहूंगा EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS बोस्टन से पिट्सबर्ग तक एक राउंड ट्रिप उड़ान के लिए यात्रा व्यवस्था खोजें EOS\t	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया अटलांटा से सेंट के लिए मंगलवार की उड़ानों की सूची बनाएं।  EOS\t	O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS मुझे अटलांटा से सैन फ्रांसिस्को तक की सभी उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS मुझे डलास से डेनवर तक का सबसे सस्ता किराया क्या मिल सकता है? EOS\t	O O O B-cost_relative O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS साल्ट लेक सिटी से सेंट तक नवीनतम उड़ान क्या है?  EOS\t	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS महाद्वीपीय पर शिकागो से सैन फ्रांसिस्को तक EOS\t	B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name atis_flight
BOS क्या आप मुझे ओकलैंड से साल्ट लेक सिटी तक की सभी उड़ानें दिखा सकते हैं EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS कैनेडियन एयरलाइंस इंटरनेशनल किन शहरों में सेवा प्रदान करती है EOS\t	O O O O O B-airline_name I-airline_name I-airline_name atis_city
BOS कृपया सैन फ्रांसिस्को से फिलाडेल्फिया तक EOS\t	B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O atis_flight
BOS नैशविले से सिएटल तक उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS फिलाडेल्फिया से ओकलैंड कैलिफ़ोर्निया के लिए शुक्रवार दोपहर को कौन सी उड़ानें उपलब्ध हैं EOS\t	O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name atis_flight
BOS मुझे टोरंटो से साल्ट लेक सिटी तक शाम 5:30 से 7 बजे के बीच टोरंटो छोड़ने वाली उड़ानों के बारे में बताएं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time atis_flight
BOS डलास फोर्ट वर्थ में किस प्रकार का जमीनी परिवहन उपलब्ध है EOS\t	O O O O O O O O B-city_name I-city_name I-city_name atis_ground_service
BOS बुधवार को बोस्टन से डेनवर के लिए उड़ान जानकारी का अनुरोध किया जा रहा है EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS क्या आप टोरंटो से प्रस्थान करने वाली और डेनवर में रुकने वाली सैन डिएगो में उतरने वाली सभी उड़ानों की सूची बना सकते हैं? EOS\t	O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS डेनवर से पिट्सबर्ग के लिए सभी उड़ानें शाम 6 बजे के बाद और शाम 7 बजे से पहले प्रस्थान करती हैं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS बुधवार को फ़ीनिक्स से डेट्रॉइट के लिए उड़ानों की सूची बनाएं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS पिट्सबर्ग हवाई अड्डे और डाउनटाउन पिट्सबर्ग के बीच की दूरी क्या है? EOS\t	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_distance
BOS मुझे लव फील्ड से किसी अन्य हवाई अड्डे के लिए उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O atis_flight
BOS चार्लोट से लास वेगास के लिए एक उड़ान खोजें जो सेंट में रुके।  EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name O O B-meal_description O O O O O O O O O O atis_flight
BOS वाशिंगटन डीसी से टाम्पा फ्लोरिडा तक सभी उड़ानों की सूची बनाएं EOS\t	O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name atis_flight
BOS क्या आप मुझे बोस्टन से सैन फ्रांसिस्को तक का एकतरफ़ा किराया सबसे सस्ता बता सकते हैं EOS\t	O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS वहां कौन सी एयरलाइंस हैं EOS\t	O O O O atis_airline
BOS मैं डेनवर और सैन फ्रांसिस्को के बीच एक उड़ान चाहता हूं जो दोपहर में डेनवर से रवाना हो और शाम 5 बजे पहुंचे, यह एक नॉनस्टॉप उड़ान होनी चाहिए EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name O O B-depart_time.period_of_day O O O B-arrive_time.time I-arrive_time.time O O O O B-flight_stop O atis_flight
